epoch;lr-Adam;step;train_loss_epoch;train_loss_step;val_MAE;val_MAPE;val_RMSE;val_SMAPE;val_loss
90;;909;;;0,112292062;0,52035377;0,202229194;0,636984064;0,066042101
90;;909;0,046429517;;;;;;
;2,50E-05;910;;;;;;;
91;;919;;;0,112430542;0,519743863;0,202385275;0,638173131;0,065946484
91;;919;0,048302013;;;;;;
;2,50E-05;920;;;;;;;
92;;929;;;0,112698678;0,516892506;0,202698542;0,640471902;0,065870947
92;;929;0,044071417;;;;;;
;2,50E-05;930;;;;;;;
93;;939;;;0,112540924;0,518477374;0,202509158;0,639294582;0,06560535
93;;939;0,045537996;;;;;;
;1,25E-05;940;;;;;;;
94;;949;;0,056454735;;;;;
94;;949;;;0,112552832;0,518632006;0,202520647;0,639412439;0,065641915
94;;949;0,046107053;;;;;;
;1,25E-05;950;;;;;;;
95;;959;;;0,112560248;0,518521989;0,202528549;0,639423737;0,06576978
95;;959;0,048578522;;;;;;
;1,25E-05;960;;;;;;;
96;;969;;;0,112394146;0,519567364;0,202339712;0,638009635;0,06575695
96;;969;0,049929131;;;;;;
